date,diferenca_lula_bolsonaro
2021-07-03,11.160523520089717
2021-07-04,11.427359142297814
2021-07-05,11.68963624777208
2021-07-06,11.943145683434548
2021-07-07,12.204367282382506
2021-07-08,12.40483851464123
2021-07-09,12.485784365401646
2021-07-10,12.564069597970068
2021-07-11,12.642828757746727
2021-07-12,12.719904349153218
2021-07-13,12.792806258052362
2021-07-14,12.865619996746249
2021-07-15,12.926586569594452
2021-07-16,12.994366029424302
2021-07-17,13.079001958588387
2021-07-18,13.157215394322222
2021-07-19,13.235865726039297
2021-07-20,13.300492284909213
2021-07-21,13.370247610106624
2021-07-22,13.4529637219634
2021-07-23,13.520376388424346
2021-07-24,13.605835102712147
2021-07-25,13.688500107133828
2021-07-26,13.756424488743932
2021-07-27,13.83002984211562
2021-07-28,13.897419240945204
2021-07-29,13.979910467654928
2021-07-30,14.06360577618647
2021-07-31,14.137669141049535
2021-08-01,14.214354016498715
2021-08-02,14.277612520902686
2021-08-03,14.34420474092756
2021-08-04,14.424769738292255
2021-08-05,14.467361638318934
2021-08-06,14.499965040296782
2021-08-07,14.537682125191598
2021-08-08,14.576058566474485
2021-08-09,14.613464932406345
2021-08-10,14.655753125623445
2021-08-11,14.68926191727899
2021-08-12,14.729199411445052
2021-08-13,14.75662322262459
2021-08-14,14.803353012300178
2021-08-15,14.86466194061542
2021-08-16,14.930751847029647
2021-08-17,14.973092900266838
2021-08-18,15.041146119481803
2021-08-19,15.095532212685498
2021-08-20,15.151066428149711
2021-08-21,15.206197779630616
2021-08-22,15.2723780295176
2021-08-23,15.318875334158218
2021-08-24,15.374770169667322
2021-08-25,15.43188519598786
2021-08-26,15.476883762067946
2021-08-27,15.526581821357729
2021-08-28,15.59187473637305
2021-08-29,15.66977592491967
2021-08-30,15.724226885976474
2021-08-31,15.777299399491325
2021-09-01,15.83756699658801
2021-09-02,15.87476585279369
2021-09-03,15.930508758030465
2021-09-04,15.978383727318713
2021-09-05,16.01988309499521
2021-09-06,16.062932306273495
2021-09-07,16.106387617708922
2021-09-08,16.15265378069178
2021-09-09,16.20096783910349
2021-09-10,16.235125363212184
2021-09-11,16.278275333370885
2021-09-12,16.330808619950464
2021-09-13,16.38936213834934
2021-09-14,16.428881597223782
2021-09-15,16.46943168709324
2021-09-16,16.42003270897116
2021-09-17,16.390478286435894
2021-09-18,16.347466265986952
2021-09-19,16.320466967664384
2021-09-20,16.265187158280366
2021-09-21,16.210018660160145
2021-09-22,16.153905019035122
2021-09-23,16.094662633215894
2021-09-24,16.047200984489162
2021-09-25,15.988915911696717
2021-09-26,15.921861437130126
2021-09-27,15.856453571127847
2021-09-28,15.80179772749498
2021-09-29,15.748718652790036
2021-09-30,15.681293500085228
2021-10-01,15.60821403429771
2021-10-02,15.532446473067694
2021-10-03,15.4627739257868
2021-10-04,15.390149519099005
2021-10-05,15.314221050780258
2021-10-06,15.24877876201358
2021-10-07,15.187616314275363
2021-10-08,15.112392441461502
2021-10-09,15.049745677006584
2021-10-10,14.982497480537903
2021-10-11,14.917993304949018
2021-10-12,14.846161483870777
2021-10-13,14.774776881440989
2021-10-14,14.709875633323325
2021-10-15,14.638804029792407
2021-10-16,14.56736182872134
2021-10-17,14.490882459580227
2021-10-18,14.4268048952678
2021-10-19,14.35315226941567
2021-10-20,14.278585255205416
2021-10-21,14.215973369301622
2021-10-22,14.16430723524175
2021-10-23,14.096483553558272
2021-10-24,14.02795664198644
2021-10-25,13.958397217450766
2021-10-26,13.89374486722107
2021-10-27,13.815288702339837
2021-10-28,13.865042449025552
2021-10-29,13.858382389673164
2021-10-30,13.871886838763452
2021-10-31,13.88585845111912
2021-11-01,13.888870937350376
2021-11-02,13.890793086770111
2021-11-03,13.895543766039191
2021-11-04,13.89731664027899
2021-11-05,13.901624266334087
2021-11-06,13.909657226963414
2021-11-07,13.90960593999246
2021-11-08,13.920426172626932
2021-11-09,13.929772535508878
2021-11-10,13.940206685129995
2021-11-11,13.949301938372273
2021-11-12,14.072903666416082
2021-11-13,14.207006148021364
2021-11-14,14.31806433297752
2021-11-15,14.43322209656851
2021-11-16,14.569234755624931
2021-11-17,14.693711707364074
2021-11-18,14.819027004906264
2021-11-19,14.953182487353205
2021-11-20,15.07737731539996
2021-11-21,15.201360797409862
2021-11-22,15.330613584730198
2021-11-23,15.473852442865102
2021-11-24,15.592768468552324
2021-11-25,15.733040118547503
2021-11-26,15.882335533073691
2021-11-27,16.024965465439507
2021-11-28,16.179701339200744
2021-11-29,16.35179586864644
2021-11-30,16.499748190444652
2021-12-01,16.644850044400876
2021-12-02,16.79427693983248
2021-12-03,16.936017845148882
2021-12-04,17.0915376226178
2021-12-05,17.259677674563942
2021-12-06,17.40181972177469
2021-12-07,17.542453247207447
2021-12-08,17.692517722410923
2021-12-09,17.857005409701262
2021-12-10,17.997449064157703
2021-12-11,18.13422891251805
2021-12-12,18.27236364540597
2021-12-13,18.42052163730204
2021-12-14,18.56537922226229
2021-12-15,18.7171184497879
2021-12-16,18.876013719746847
2021-12-17,18.79781802121101
2021-12-18,18.71372718777722
2021-12-19,18.640454347330103
2021-12-20,18.57619637413232
2021-12-21,18.488861558218943
2021-12-22,18.483009631500604
2021-12-23,18.46791665546989
2021-12-24,18.477515934167634
2021-12-25,18.456630455196905
2021-12-26,18.44648586089757
2021-12-27,18.43594955824252
2021-12-28,18.43734870022288
2021-12-29,18.42670306647368
2021-12-30,18.42265878532463
2021-12-31,18.428964158750645
2022-01-01,18.4171927969387
2022-01-02,18.407351624672827
2022-01-03,18.40519392089678
2022-01-04,18.4136416945617
2022-01-05,18.4043881882838
2022-01-06,18.397922917758947
2022-01-07,18.38639669795907
2022-01-08,18.385833646459123
2022-01-09,18.382628118398184
2022-01-10,18.37689556163301
2022-01-11,18.360956697034645
2022-01-12,18.353503969003604
2022-01-13,18.275378903132204
2022-01-14,18.236580143591485
2022-01-15,18.192640838189067
2022-01-16,18.14946172128961
2022-01-17,18.11159959553796
2022-01-18,18.07093543761899
2022-01-19,18.03802851751168
2022-01-20,17.99988676688633
2022-01-21,17.960757659729854
2022-01-22,17.92862758009043
2022-01-23,17.897111770139073
2022-01-24,17.867709076311154
2022-01-25,17.835141519286342
2022-01-26,17.73847068628898
2022-01-27,17.649426673948415
2022-01-28,17.56059885115643
2022-01-29,17.458288674306363
2022-01-30,17.362423195519188
2022-01-31,17.272122604074823
2022-02-01,17.177937287455396
2022-02-02,17.138509459035106
2022-02-03,17.070648733336732
2022-02-04,17.030091856306324
2022-02-05,16.975954034961344
2022-02-06,16.94034588279328
2022-02-07,16.88825936191786
2022-02-08,16.85235390976084
2022-02-09,16.801766395994267
2022-02-10,16.699655456565402
2022-02-11,16.582811345676035
2022-02-12,16.48156109942286
2022-02-13,16.381748160783086
2022-02-14,16.270617167741673
2022-02-15,16.171185349774987
2022-02-16,16.127108363948338
2022-02-17,16.074099969580406
2022-02-18,16.037991291775047
2022-02-19,16.00358849091878
2022-02-20,15.95326540083084
2022-02-21,15.906889874027772
2022-02-22,15.86871689319517
2022-02-23,15.862133770334635
2022-02-24,15.779349492527269
2022-02-25,15.696593121868585
2022-02-26,15.59692541262026
2022-02-27,15.525855117320956
2022-02-28,15.449855785004754
2022-03-01,15.360054637250665
2022-03-02,15.35100003621996
2022-03-03,15.337274476284378
2022-03-04,15.324138713959275
2022-03-05,15.308298866431834
2022-03-06,15.309428649150224
2022-03-07,15.325918341223389
2022-03-08,15.317300596740644
2022-03-09,15.305642142715431
2022-03-10,15.249292949045923
2022-03-11,15.192202189539582
2022-03-12,15.135285817179644
2022-03-13,15.086058420112687
2022-03-14,15.03519637528454
2022-03-15,14.982065486544885
2022-03-16,14.98335961807468
2022-03-17,14.989986382251814
2022-03-18,14.995863679555187
2022-03-19,15.003277222578806
2022-03-20,14.99471977494202
2022-03-21,14.99846940096231
2022-03-22,15.002158622482565
2022-03-23,15.000007058211054
2022-03-24,14.864684637848285
2022-03-25,14.70587639740858
2022-03-26,14.562405509672391
2022-03-27,14.412620397581108
2022-03-28,14.26151704813249
2022-03-29,14.114226674695452
2022-03-30,14.017889841768408
2022-03-31,13.936595099599138
2022-04-01,13.853492666638878
2022-04-02,13.756969998350732
2022-04-03,13.664694258823914
2022-04-04,13.574734823881016
2022-04-05,13.472478257214227
2022-04-06,13.311737025868354
2022-04-07,13.155091433539448
2022-04-08,12.99229032015517
2022-04-09,12.828153599184432
2022-04-10,12.672752647001694
2022-04-11,12.50598430982184
2022-04-12,12.336162571891355
2022-04-13,12.320672755798752
2022-04-14,12.309285675285755
2022-04-15,12.307854074576504
2022-04-16,12.30141087316445
2022-04-17,12.289277817038196
2022-04-18,12.283268467830233
2022-04-19,12.249929994076368
2022-04-20,12.231955545969718
2022-04-21,12.216369128735105
2022-04-22,12.199883886697217
2022-04-23,12.178684106398464
2022-04-24,12.147208722557998
2022-04-25,12.122840131534062
2022-04-26,12.09824078651804
2022-04-27,12.156737482176872
2022-04-28,12.21694015711988
2022-04-29,12.26781792386378
2022-04-30,12.327018305684284
2022-05-01,12.389591695827058
2022-05-02,12.456786166968593
2022-05-03,12.501080389883109
2022-05-04,12.555233311831238
2022-05-05,12.538962184379097
2022-05-06,12.52637888125622
2022-05-07,12.499154223776593
2022-05-08,12.487310160198753
2022-05-09,12.479348616691858
2022-05-10,12.451290091121244
2022-05-11,12.530803028796576
2022-05-12,12.537742086474031
2022-05-13,12.568303350924104
2022-05-14,12.594572566402611
2022-05-15,12.623104936827607
2022-05-16,12.637976445775736
